,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,3708.602924754601,4276.008169795105,4882.254087857361,5289.225844161482,5366.8151783172725,5893.663224479361,6001.202196016882,6313.158199453564,6057.158066041014,17342.471939574498,16441.7906361916,16585.195530726298,17926.5728361165,19081.351656125,19356.2033894901,20620.7006259175,20670.6556635493,20434.2994364477,20834.5101990131,22567.8249248908,23302.8319880055,24014.944267050098,25921.026051997997,27546.8993898034,24631.4348604167,24271.9404205267,25324.7203624669,15104.97222968334,15573.331377652179,-3.3045169246166236e-16,13917.350065989536,12745.478087433305
1,3708.602924754601,4276.008169795105,4882.254087857361,5289.225844161482,5366.8151783172725,5893.663224479361,6001.202196016882,6313.158199453564,6057.158066041014,6364.049258907823,7132.467571415103,7456.511873717188,7214.650848824026,7426.15707750716,7757.638559390969,7629.505393712367,117.40969079495501,187.845094955388,198.728543552291,219.14135278546502,250.29412990948998,272.563077018147,369.835795969823,373.36111630003603,445.893297923744,553.300289383064,603.53702306241,669.009050888028,638.61254321276,-0.6760959578708631,569.577922915754,561.778746269502
2,630.0749849618489,612.0748403846289,595.857754388612,580.5550248714969,847.76672420739,823.792184336632,965.361296350428,438.320519601465,393.78452085039805,293.27822240508203,353.18204509917,512.620965887672,506.884952193443,415.69334585798697,385.768853472854,555.2969418633339,526.168742996854,711.181715953492,779.468305598703,1041.08684392862,1443.99192856374,2062.41514942577,2878.83714393079,3868.57888289748,3347.84485033644,3529.05348173757,4299.012888779221,4598.249987654411,4804.61688354724,-0.49079637300163764,3695.79374814656,3308.70023298492
3,662.914792567128,719.1572957039141,699.384292086697,676.566732520011,723.409610237851,639.463899289892,348.71131778698197,218.49216590263302,380.527371084275,619.065163447139,760.559375774093,1046.35851070754,749.584649014639,865.302161769888,1098.42546340677,1175.78898079471,1326.97033929809,1453.64277657175,1890.6815573351398,2416.5882350519396,2709.1429306138602,3005.0129033185103,3603.0136853663794,4370.53964653148,4114.13654490945,4094.3588319191795,4437.17806843608,4247.61430826246,4413.08169670601,-0.49672988189644945,3934.8953941315795,4124.98239042866
4,7774.3938290347805,10361.8159820255,12616.167565929,14304.356964578501,15166.437850753999,18878.5059692988,19532.5401504525,20547.7117897897,16516.4710272204,16234.809010201201,18461.0648581512,19017.1745902241,18353.0597218473,18894.5214963227,19261.7105038886,21936.530101470802,22228.8464928922,24741.4935704562,32776.4422698769,38503.479614485695,41282.0201219785,43748.772158899905,48582.808455086604,47785.6590856793,43339.3798746543,39736.3540626699,41098.766941722795,38391.080866978504,40619.711297779504,1.2162301271830698,36038.2676044596,36988.6220301891
5,1572.0508262802898,1451.72375305673,1525.70405635939,1458.4333023014199,1486.82597568435,1988.45873977156,1905.2091554518104,2004.63397954487,1974.8905900287803,1970.31573493549,2053.7214208247196,2216.77512376145,2300.5868470367604,2172.84800548214,2316.45929252945,2589.6484501118302,2495.36631204247,2462.7914416246103,2721.62805699583,3117.6608060124395,3745.7909299171897,4336.71858341177,4937.5982177301,6115.51778057895,5158.20851706515,5917.57430778759,6855.527286643471,7343.12131796659,7439.37940081515,-0.36623005338271886,6435.52550875833,6162.34727236922
6,29189.1677892304,23056.1045271808,23312.9295261613,21907.5979773605,23612.745196968397,27256.2909428352,26168.2666231036,25993.558007767002,25199.3495771446,25467.1922190635,26847.080053195,28615.582141012597,29199.524610859,26663.3087045186,28260.005016782798,33071.2686869422,31061.5293454235,31311.359356215202,33230.5231807291,36161.1706068291,39439.8019679284,42372.2216623658,42672.6132294857,45758.90553566269,33072.5751663719,35049.1483168035,40462.3120889984,42112.235647425296,43350.6426809366,1.3140920685569484,39101.7468895974,37622.207456424396
7,2909.51661013406,3595.08589823166,3546.7188201556396,3969.3274116628204,2375.3391027255498,4318.77469950773,5715.50439657303,6798.026762729311,6940.350358069089,7449.4803897724205,7373.42824568235,7683.5740648377405,8172.66432306173,8248.76198864344,7736.369622540541,7669.273915540659,7170.69467365192,2579.19316821209,3330.4370058354802,4251.57434819873,5076.8838291729,5878.76102735208,7193.61763973522,8953.35927526277,8161.30696648652,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,-0.14853687650381428,13467.102357002199,12440.3209818055
8,3708.602924754601,4276.008169795105,4882.254087857361,5289.225844161482,5366.8151783172725,637.8557411616299,590.122225741606,369.633368128684,357.20433987136704,400.51609188614304,456.375899754645,504.05951404149397,523.283569096003,609.1730253910071,597.433481734807,622.7427476879831,694.430511932268,783.261609869997,930.166156701539,1191.9619199070598,1643.7585429814499,2158.00290895457,3138.8087034124796,4010.02699722693,2993.83253109033,3218.3816548846503,3526.97814267659,3684.80481032649,3843.5912130934003,-0.5232512995604477,3617.93574555176,3614.6883569981105
9,3708.602924754601,4276.008169795105,4882.254087857361,5289.225844161482,5366.8151783172725,5893.663224479361,6001.202196016882,6313.158199453564,6057.158066041014,6364.049258907823,7132.467571415103,7456.511873717188,7214.650848824026,7426.15707750716,7757.638559390969,7629.505393712367,7482.607486948342,8751.76652874972,8914.52543261668,8639.30885529158,8508.40691498359,8456.94799658994,8980.53641434813,9871.997194459058,12058.26382343,10352.8227618312,10375.9942154736,11660.329531051999,11589.8530023324,-0.17789913887253975,11865.9632317194,11834.7452292307
