,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
16,4278501.0,4404506.0,4535263.0,4672852.0,4820016.0,4978496.0,5149499.0,5331803.0,5521763.0,5714220.0,5905558.0,6094259.0,6281639.0,6470265.0,6664098.0,6865951.0,7076733.0,7295394.0,7520555.0,7750004.0,7982225.0,8216896.0,8454791.0,8696916.0,8944706.0,9199259.0,9460802.0,9729160.0,10004451.0,-0.3059144705457099,10575952.0,10872298.0
17,7727907.0,7930694.0,8140073.0,8356305.0,8579823.0,8811034.0,9050084.0,9297113.0,9552476.0,9816588.0,10089878.0,10372745.0,10665546.0,10968724.0,11282701.0,11607942.0,11944587.0,12293100.0,12654621.0,13030569.0,13421930.0,13829177.0,14252021.0,14689726.0,15141099.0,15605217.0,16081904.0,16571216.0,17072723.0,-0.2980306095293171,18110624.0,18646433.0
18,93199865.0,95742431.0,98343809.0,100975321.0,103599232.0,106188642.0,108727432.0,111221938.0,113695139.0,116182267.0,118706871.0,121269645.0,123854640.0,126447965.0,129029691.0,131581243.0,134107160.0,136600667.0,139019001.0,141307489.0,143431101.0,145368004.0,147139191.0,148805814.0,150454708.0,152149102.0,153911916.0,155727053.0,157571292.0,-0.1448530407727585,161200886.0,162951560.0
19,8960547.0,8958171.0,8971359.0,8981446.0,8876972.0,8718289.0,8632367.0,8540164.0,8472313.0,8443591.0,8406067.0,8362826.0,8312068.0,8256786.0,8210624.0,8170172.0,8009142.0,7837161.0,7775327.0,7716860.0,7658972.0,7601022.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,-0.3092225412268842,7177991.0,7127822.0
20,419430.0,433482.0,448973.0,465202.0,481090.0,495931.0,509765.0,523087.0,536213.0,549588.0,563699.0,578668.0,594930.0,613702.0,636545.0,664614.0,697549.0,735148.0,778711.0,829848.0,889168.0,958414.0,1035891.0,1114590.0,1185029.0,1240862.0,1278269.0,1300217.0,1315411.0,-0.31558161367764664,1371855.0,1425171.0
21,234687.0,239131.0,243393.0,247579.0,251849.0,256336.0,261116.0,266134.0,271165.0,275895.0,280150.0,283790.0,286970.0,290060.0,293572.0,297890.0,303135.0,309157.0,315746.0,322526.0,329249.0,335830.0,342328.0,348676.0,354856.0,360832.0,366568.0,372039.0,377240.0,-0.31661226552135285,386838.0,391232.0
22,4392130.0,4435504.0,4478519.0,4508056.0,4506653.0,4463422.0,4371603.0,4239154.0,4087999.0,3948816.0,3843712.0,3780378.0,3752431.0,3750485.0,3759118.0,3766706.0,3771284.0,3775807.0,3779247.0,3781287.0,3781530.0,3779468.0,3774000.0,3763599.0,3746561.0,3722084.0,3688865.0,3648200.0,3604999.0,-0.31317344025998683,3535961.0,3516816.0
23,9975000.0,10043000.0,10111000.0,10140000.0,10170000.0,10189000.0,10194000.0,10216000.0,10239000.0,10227000.0,10194000.0,10160000.0,10117000.0,10069000.0,10026738.0,9979610.0,9928549.0,9865548.0,9796749.0,9730146.0,9663915.0,9604924.0,9560953.0,9527985.0,9506765.0,9490583.0,9473172.0,9464495.0,9465997.0,-0.30679172048818704,9489616.0,9501534.0
24,164921.0,169568.0,174320.0,179028.0,183469.0,187552.0,191126.0,194317.0,197616.0,201674.0,206963.0,213676.0,221606.0,230284.0,239026.0,247315.0,254984.0,262206.0,269130.0,276089.0,283277.0,290747.0,298407.0,306165.0,313929.0,321608.0,329192.0,336701.0,344181.0,-0.3166451812552623,359288.0,366954.0
25,56898.0,57382.0,57849.0,58347.0,58841.0,59326.0,59021.0,58595.0,58910.0,59320.0,59746.0,60129.0,60497.0,60943.0,61285.0,61833.0,62504.0,62912.0,63325.0,63740.0,64154.0,64523.0,64888.0,65273.0,65636.0,65124.0,64564.0,64798.0,65001.0,-0.31695468636208507,65250.0,65376.0
